date,store_id,product_id,category,region,year,month,day,day_of_week,demand_real,demand_pred
2023-08-31,S003,P0009,Groceries,East,2023,8,31,Thursday,150,158.27323611111112
2023-08-31,S004,P0009,Clothing,West,2023,8,31,Thursday,96,103.72308065618591
2023-08-31,S005,P0009,Groceries,North,2023,8,31,Thursday,121,112.39455107185012
2023-09-01,S001,P0009,Clothing,North,2023,9,1,Friday,179,173.71291666666667
2023-09-01,S002,P0009,Groceries,South,2023,9,1,Friday,175,200.67041666666668
2023-09-01,S003,P0009,Groceries,East,2023,9,1,Friday,148,134.6200295698925
2023-09-01,S004,P0009,Clothing,West,2023,9,1,Friday,102,88.915
2023-09-01,S005,P0009,Groceries,North,2023,9,1,Friday,89,93.43681547619047
2023-09-02,S001,P0009,Clothing,North,2023,9,2,Saturday,26,28.317666666666668
2023-09-02,S002,P0009,Groceries,South,2023,9,2,Saturday,99,106.03447689567703
2023-09-02,S003,P0009,Groceries,East,2023,9,2,Saturday,6,26.44
2023-09-02,S004,P0009,Clothing,West,2023,9,2,Saturday,61,68.80094444444444
2023-09-02,S005,P0009,Groceries,North,2023,9,2,Saturday,154,156.21086904761904
2023-09-03,S001,P0009,Clothing,North,2023,9,3,Sunday,118,123.87166666666666
2023-09-03,S002,P0009,Groceries,South,2023,9,3,Sunday,86,93.53922023809524
2023-09-03,S003,P0009,Groceries,East,2023,9,3,Sunday,93,100.66566666666665
2023-09-03,S004,P0009,Clothing,West,2023,9,3,Sunday,67,61.7
2023-09-03,S005,P0009,Groceries,North,2023,9,3,Sunday,160,144.11242424242425
2023-09-04,S001,P0009,Clothing,North,2023,9,4,Monday,111,117.35752023924294
2023-09-04,S002,P0009,Groceries,South,2023,9,4,Monday,115,121.22928763597511
2023-09-04,S003,P0009,Groceries,East,2023,9,4,Monday,151,141.5914000750067
2023-09-04,S004,P0009,Clothing,West,2023,9,4,Monday,100,102.52283928571428
2023-09-04,S005,P0009,Groceries,North,2023,9,4,Monday,178,176.99
2023-09-05,S001,P0009,Clothing,North,2023,9,5,Tuesday,121,117.08792766955268
2023-09-05,S002,P0009,Groceries,South,2023,9,5,Tuesday,176,162.43620964411403
2023-09-05,S003,P0009,Groceries,East,2023,9,5,Tuesday,144,138.25125000000003
2023-09-05,S004,P0009,Clothing,West,2023,9,5,Tuesday,117,105.91035714285714
2023-09-05,S005,P0009,Groceries,North,2023,9,5,Tuesday,178,166.4614047619048
2023-09-06,S001,P0009,Clothing,North,2023,9,6,Wednesday,97,106.42326957618403
2023-09-06,S002,P0009,Groceries,South,2023,9,6,Wednesday,106,113.66853357059601
2023-09-06,S003,P0009,Groceries,East,2023,9,6,Wednesday,55,54.055
